thetai,RF_mean,RP_mean,R_Fres,EcF_relerr,EcP_relerr,RF_relerr,RP_relerr,TF_relerr,TP_relerr
0,0.0400261617424276,0.0400261617424276,0.04,6.51370106745652e-05,6.51370106745652e-05,0.000654043560689363,0.000654043560689363,4.05992377572097e-05,4.05992377572097e-05
0.0785398163397448,0.041540675272811,0.140263880918025,0.0403304001497366,0.0152753741947994,0.102241755830808,0.0300090035948304,2.4778698053394,0.0171784636300306,0.0024052810080466
0.15707963267949,0.0406972117799973,0.36126829930456,0.0413387572007964,0.015951723378695,0.329330836140167,0.0155192237077409,7.73921529739651,0.0173087927817372,0.00980669043107642
0.235619449019234,0.053044250589673,0.202011092700609,0.043078042928268,0.000344585614060255,0.152718195102383,0.231352377776314,3.68942131463563,0.0107749573507721,0.00649463064780688
0.314159265358979,0.0449409108070352,0.0567579152625893,0.0456417267374505,0.0334297126619238,0.00866278736655757,0.0153547199133512,0.243553198350351,0.0342941405219051,0.0207248959283188
0.392699081698724,0.0508119718613809,0.190809117388602,0.0491721912544347,0.0143363457263211,0.161487541384324,0.0333477228716809,2.88042738224307,0.0168023339098009,0.0208771925553444
0.471238898038469,0.0652031681711115,0.738869055302518,0.0538738809471163,0.00425038858847704,0.674457859207939,0.210292761999387,12.7147917007837,0.0164668065902971,0.0111373261294284
0.549778714378214,0.0693481540203462,0.187070958971682,0.0600327562328926,0.0187188189002155,0.143353280675202,0.155171915667427,2.11614809498258,0.0298246740762118,0.0173570707326211
0.628318530717959,0.0585164592002566,0.218093906491174,0.0680443856727588,0.100832100763483,0.0672239461087194,0.140025167077328,2.20517121779949,0.097970518002503,0.0888728748841609
0.706858347057703,0.112936901204658,1.01123715589116,0.0784540247075729,0.0261905975511127,0.921353851249634,0.439529732548659,11.8895510416503,0.00899822599012643,0.0124022894574789
0.785398163397448,0.109359670537285,0.147148397020494,0.0920133630455244,0.0819930032448382,0.134736390192671,0.188519438020952,0.599206812467996,0.0711978493096693,0.087667982080327
0.863937979737193,0.118380813788328,2.29414143431554,0.109760299369169,0.00159321798250456,2.21906983742555,0.0785394579707167,19.9013773422701,0.0114730138348416,0.0389655757371787
0.942477796076938,0.183996182247625,0.120978502389517,0.133130045051237,0.0665620654666488,0.102563233814022,0.382078569693352,0.0912757346175531,0.135462305496535,0.104296717905797
1.02101761241668,0.0725328432086526,7.4513090218645,0.164107773912635,0.30012203317644,7.68770642027573,0.558017018454795,44.4049728675945,0.24949041989375,0.479134940874554
1.09955742875643,0.658135458036041,0.444719528205202,0.20543423224243,0.670551606926132,0.282635954978955,2.20363091804187,1.1647781061162,0.27417539236222,0.0545589311486791
